idaction,name,hash,type,url_prefix
142,ecomst.vipani.ai/e-commerce/product-details/12968,1055329330,1,2.0
143,ecomst.vipani.ai/e-commerce/product-details/17889,3783232303,1,2.0
144,localhost/onBoard/onBoarding,3560095873,1,0.0
145,localhost/e-commerce/product-details/22016,4148279062,1,0.0
146,localhost/rfq/buyer/create_rfq/981,2599452647,1,0.0
147,localhost/e-commerce/wish-list,3741294964,1,0.0
148,ecomst.vipani.ai/e-commerce/product-details/41858,3462206808,1,2.0
149,stuam.vipani.ai/auth/login,641748410,1,0.0
150,stuam.vipani.ai/e-commerce/category-three/efe0bd2c212eceec598c42a15b8cd07f,4019126204,1,0.0
151,stuam.vipani.ai/e-commerce/product-details/61112,3157485798,1,0.0
152,ecomst.vipani.ai/rfq/buyer/rfq-details/395,772146144,1,2.0
153,ecomst.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=395&product=1293,4076543207,1,2.0
154,ecomst.vipani.ai/rfq/buyer/rfq-details/397,3221775052,1,2.0
155,ecomst.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=397&product=1299,4081070420,1,2.0
156,ecomst.vipani.ai/rfq/buyer/quote-details?rfqId=397&product=1299&quoteId=291&seller=91,3937580275,1,2.0
157,localhost/e-commerce/vendor-profile/347,1990276444,1,0.0
158,localhost/e-commerce/search-products/a%2520one,2241367794,1,0.0
159,localhost/e-commerce/vendor-profile/91,4170948692,1,0.0
160,localhost/e-commerce/product-details/20073,2071473300,1,0.0
161,localhost/e-commerce/vendor-profile/326,1476174412,1,0.0
162,localhost/e-commerce/cart,1731104973,1,0.0
163,localhost/e-commerce/cart-ordersummery?type=Cart,286160019,1,0.0
164,localhost/e-commerce/category-three/efe0bd2c212eceec598c42a15b8cd07f,2162801025,1,0.0
165,localhost/e-commerce/product-details/59234,1306278855,1,0.0
166,localhost/e-commerce/category-three/87678c3ee7546ea13ec1494f9227a98f,1670080330,1,0.0
167,localhost/e-commerce/product-details/18872,2155356037,1,0.0
168,localhost/e-commerce/category-three/6e13189d10feed9bd550e127c9a11c2a,2043492676,1,0.0
169,localhost/e-commerce/category-two/459c02ba8fef4dabb59966e6f9e23938,3458926296,1,0.0
170,localhost/e-commerce/product-details/41857,2009876850,1,0.0
171,localhost/e-commerce/category-two/5cd256b2c3df58f1c6f1ac848995b37f,2523897166,1,0.0
172,localhost/e-commerce/category-two/03eeee4a59546da16a236c5cb45b424b,1700544890,1,0.0
173,localhost/e-commerce/product-details/73331,688461435,1,0.0
174,ecomst.vipani.ai/prf/add-product/71,2963699490,1,2.0
175,ecomst.vipani.ai/prf/add-product/72,699344536,1,2.0
176,localhost/auth/registration,1626117039,1,0.0
177,unify.vipani.ai/auth/login,3127615164,1,2.0
178,stuam.vipani.ai/hub/insights-landing-page,3851191332,1,2.0
179,unify.vipani.ai/e-commerce/search-products/poss,3464869680,1,2.0
180,unify.vipani.ai/e-commerce/cart,1353851291,1,2.0
181,unify.vipani.ai/e-commerce/category-two/459c02ba8fef4dabb59966e6f9e23938,74409799,1,2.0
182,ecomst.vipani.ai/e-commerce/cart,2640617832,1,2.0
183,devpy.vipani.ai/,2414743972,1,2.0
184,devpy.vipani.ai/auth/login,2651113077,1,2.0
185,devpy.vipani.ai/buyer-auction/buyer-dashboard,357945976,1,2.0
186,devpy.vipani.ai/calendar,2667545339,1,2.0
187,devpy.vipani.ai/buyer-auction/buyer-auction-list,567124756,1,2.0
188,devpy.vipani.ai/rfq/buyer/dashboard,540391676,1,2.0
189,devpy.vipani.ai/rfq/buyer/create_rfq,2752194861,1,2.0
190,devpy.vipani.ai/buyer-auction/buyer-auction-details/528,2823986027,1,2.0
191,devpy.vipani.ai/auction/seller-dashboard,2497359507,1,2.0
192,devpy.vipani.ai/auction/seller-auction-list,2063021215,1,2.0
193,devpy.vipani.ai/auction/seller-auction-details/528,3585944348,1,2.0
194,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1670,3568947741,1,2.0
195,devpy.vipani.ai/order-management/seller-dashboard,3923302176,1,2.0
196,devpy.vipani.ai/order-management/seller-payment-list,1207180271,1,2.0
197,devpy.vipani.ai/buyer-auction/buyer-product-details,3687925398,1,2.0
198,devpy.vipani.ai/rfq/buyer/create_rfq/1670,2034844859,1,2.0
199,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1671,2747196043,1,2.0
200,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1671,1804740554,1,2.0
201,devpy.vipani.ai/rfq/buyer/rfq-seller-selection/1671,722174376,1,2.0
202,devpy.vipani.ai/rfq/buyer/rfq-list,2184876352,1,2.0
203,devpy.vipani.ai/rfq/sellers/dashboard,1083904711,1,2.0
204,devpy.vipani.ai/rfq/sellers/open-rfq,2361323927,1,2.0
205,devpy.vipani.ai/rfq/sellers/view-rfq-details?id=1671,3678519331,1,2.0
206,devpy.vipani.ai/rfq/sellers/rfq-list,2619244511,1,2.0
207,devpy.vipani.ai/rfq/sellers/rfq-details/1671,1639298764,1,2.0
208,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6244,%22rfqID%22:1671%7D",1955151576,1,2.0
209,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6245,%22rfqID%22:1671%7D",3948133702,1,2.0
210,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6242,%22rfqID%22:1671%7D",2192849694,1,2.0
211,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6241,%22rfqID%22:1671%7D",4188715517,1,2.0
212,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1672,985117489,1,2.0
213,devpy.vipani.ai/buyer-auction/create-po,3818632391,1,2.0
214,devpy.vipani.ai/order-management,1067440360,1,2.0
215,devpy.vipani.ai/order-management/buyer-invoice-list,1051600237,1,2.0
216,devpy.vipani.ai/order-management/seller-invoice-list,1689448190,1,2.0
217,devpy.vipani.ai/order-management/seller-parent-invoice?invoiceId=724&invoiceType=parent,181312158,1,2.0
